n,k,Time (sec)
128,3,0.1174703920000000068
128,5,0.00019372300000000000175
128,7,0.00019306999999999999293
128,9,0.00019310099999999999314
128,11,0.00019320299999999999995
128,13,0.00019304200000000001284
128,15,0.00019328100000000000835
128,17,0.00019303100000000000228
128,19,0.00019594799999999998807
128,21,0.00019354899999999999969
128,23,0.00019318100000000000592
128,25,0.00019628300000000000435
128,27,0.00019327400000000000656
128,29,0.00019318600000000000333
128,31,0.00019303199999999999092
128,33,0.00019309000000000000967
128,35,0.00019603799999999999568
128,37,0.00019295400000000000962
128,39,0.00019315000000000000571
128,41,0.00019636799999999998744
128,43,0.00019317400000000000413
128,45,0.00019313600000000000212
128,47,0.00019310999999999999932
128,49,0.00019306799999999998854
128,51,0.00019304500000000000587
128,53,0.00019319599999999999816
128,55,0.00019292399999999999805
128,57,0.00019613399999999998934
128,59,0.00019302300000000001184
128,61,0.00019332499999999999641
128,63,0.00019835100000000001233
128,65,0.00019832800000000000255
256,3,0.00080565800000000000348
256,5,0.00080341199999999998466
256,7,0.00078916700000000001517
256,9,0.00079024900000000002954
256,11,0.00078373699999999995366
256,13,0.00079057300000000003525
256,15,0.00082144900000000002898
256,17,0.00079253199999999998041
256,19,0.00079188100000000003018
256,21,0.00079004900000000002468
256,23,0.00078276199999999999772
256,25,0.00079124800000000003811
256,27,0.00080547099999999998646
256,29,0.00078982699999999999869
256,31,0.00079006699999999998284
256,33,0.0007834800000000000271
256,35,0.00078864500000000003609
256,37,0.00079122700000000003272
256,39,0.00078218400000000000427
256,41,0.0007895719999999999952
256,43,0.00078502100000000000438
256,45,0.00078595900000000002827
256,47,0.00078614500000000002954
256,49,0.00078673600000000001083
256,51,0.00078547800000000004422
256,53,0.00078544900000000002129
256,55,0.00078898699999999999995
256,57,0.00078656799999999996772
256,59,0.00078577699999999998156
256,61,0.00079030599999999995124
256,63,0.00078945399999999998041
256,65,0.00079066499999999996593
512,3,0.0031754710000000000228
512,5,0.0032001489999999997889
512,7,0.0031562080000000001904
512,9,0.0031987360000000002007
512,11,0.0030256810000000001169
512,13,0.0030454140000000001938
512,15,0.003111631000000000119
512,17,0.0030473150000000000931
512,19,0.0030901840000000001599
512,21,0.0030344849999999999601
512,23,0.0030474999999999998618
512,25,0.0031103910000000001106
512,27,0.0030373710000000000812
512,29,0.0031171509999999998629
512,31,0.0030278000000000001961
512,33,0.0030220659999999999017
512,35,0.0031271919999999999926
512,37,0.003188691000000000008
512,39,0.0032045549999999999903
512,41,0.0031426280000000001748
512,43,0.0030363679999999997929
512,45,0.0031142610000000001125
512,47,0.0030369170000000000886
512,49,0.0031000060000000002024
512,51,0.0030541890000000001225
512,53,0.0030278789999999998137
512,55,0.0031122680000000000657
512,57,0.0031961179999999999625
512,59,0.003179031000000000131
512,61,0.0031781629999999999082
512,63,0.0030157859999999999008
512,65,0.0031020079999999998488
1024,3,0.0128179639999999994
1024,5,0.012193712000000000648
1024,7,0.01218835199999999952
1024,9,0.012215679999999999594
1024,11,0.012272455999999999296
1024,13,0.012155334999999999751
1024,15,0.012233090999999999757
1024,17,0.012214551000000000575
1024,19,0.012268615000000000076
1024,21,0.01225897500000000008
1024,23,0.012392234000000000235
1024,25,0.012241049999999999848
1024,27,0.012357283000000000156
1024,29,0.012253754999999999856
1024,31,0.012551223000000000241
1024,33,0.012406900999999999693
1024,35,0.012333655000000000659
1024,37,0.012156613999999999615
1024,39,0.012148429000000000519
1024,41,0.012371425999999999604
1024,43,0.01236899099999999932
1024,45,0.0124253269999999999
1024,47,0.012625709000000000584
1024,49,0.01236953600000000042
1024,51,0.01240213199999999974
1024,53,0.012351489000000000218
1024,55,0.012316611999999999352
1024,57,0.012380521000000000234
1024,59,0.01243890899999999973
1024,61,0.012364892000000000591
1024,63,0.012804697999999999775
1024,65,0.012367440999999999851
2048,3,0.050449623999999998469
2048,5,0.050549468000000000178
2048,7,0.053424697999999999631
2048,9,0.051744495000000001461
2048,11,0.053396629000000001009
2048,13,0.053223359999999997338
2048,15,0.052479749999999998622
2048,17,0.053394533000000000966
2048,19,0.053738350999999996704
2048,21,0.048714329000000000658
2048,23,0.048619966000000000572
2048,25,0.04879781799999999975
2048,27,0.050966693999999999887
2048,29,0.048792594000000001631
2048,31,0.048605614999999997849
2048,33,0.050928857000000000987
2048,35,0.04860787899999999967
2048,37,0.048608742000000003392
2048,39,0.048635548000000000668
2048,41,0.048717530000000001944
2048,43,0.048899760000000000448
2048,45,0.048870314999999997507
2048,47,0.048764381000000002475
2048,49,0.048808918999999999222
2048,51,0.048756001000000000201
2048,53,0.049572378000000000275
2048,55,0.048619853999999997074
2048,57,0.048624466999999997607
2048,59,0.06172198400000000057
2048,61,0.04884503400000000245
2048,63,0.048619940999999999853
2048,65,0.048760889000000001703
4096,3,0.19626198400000000044
4096,5,0.19623490099999998937
4096,7,0.19966733400000000187
4096,9,0.19858917500000000667
4096,11,0.19666068100000000385
4096,13,0.19610050300000000933
4096,15,0.19644642100000000995
4096,17,0.19618911199999999884
4096,19,0.19683663800000000821
4096,21,0.19642916799999998734
4096,23,0.19649941000000001323
4096,25,0.19679040899999999947
4096,27,0.19488813399999999065
4096,29,0.20098248099999999061
4096,31,0.20127313599999999139
4096,33,0.20200630299999999817
4096,35,0.20247615399999999153
4096,37,0.19855905099999998642
4096,39,0.20074782099999999296
4096,41,0.19917028999999999983
4096,43,0.20122600900000001123
4096,45,0.19597604499999998762
4096,47,0.19483307899999999235
4096,49,0.19529693300000000589
4096,51,0.19687948799999999139
4096,53,0.19544540899999998662
4096,55,0.19911424499999999527
4096,57,0.20049478500000000869
4096,59,0.19677893900000001381
4096,61,0.19853314599999999368
4096,63,0.20412541600000000397
4096,65,0.19946964999999999835
8192,3,1.0191441869999999792
8192,5,0.92333686800000003281
8192,7,0.8129487810000000092
8192,9,0.80017689499999999914
8192,11,0.7988178179999999573
8192,13,0.79919205699999995574
8192,15,0.80164252400000002297
8192,17,1.0160038220000000564
8192,19,0.87561540000000004369
8192,21,0.79195777700000002941
8192,23,0.81794667600000003915
8192,25,0.80091889100000002166
8192,27,0.79502664899999997417
8192,29,0.80040225700000000586
8192,31,0.79547673500000004587
8192,33,0.86056439100000003961
8192,35,0.97604504800000002618
8192,37,0.81270299800000000978
8192,39,0.81475442600000003157
8192,41,0.81625777300000001979
8192,43,0.80675715000000003396
8192,45,0.79869138900000002934
8192,47,0.80748169199999997314
8192,49,0.79488241800000003501
8192,51,0.90476381900000002467
8192,53,0.97847968900000004133
8192,55,0.81875486900000005175
8192,57,0.82560302699999998932
8192,59,0.81423024700000001808
8192,61,0.82449439199999996486
8192,63,0.81530020199999997388
8192,65,0.80986000199999996774
